EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/log_files_mutex	5709	3845.5424	0.67359299
wait/synch/sxlock/innodb/trx_purge_latch	5699584	3579.4688	0.00062802
wait/synch/mutex/innodb/lock_sys_page_mutex	1226599	3041.9888	0.00248002
wait/synch/sxlock/innodb/hash_table_locks	18082430	3020.2089	0.00016702
wait/synch/mutex/innodb/log_writer_mutex	11759	2435.1062	0.20708446
wait/synch/mutex/innodb/trx_mutex	31021336	2064.5647	0.00006655
wait/synch/mutex/innodb/lock_wait_mutex	89423	1637.8504	0.01831576
wait/synch/mutex/innodb/fil_system_mutex	6347426	1378.6802	0.00021720
wait/synch/sxlock/innodb/index_tree_rw_lock	2896007	552.9185	0.00019092
wait/synch/mutex/innodb/srv_sys_mutex	62458	535.5369	0.00857435
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1245879	229.2078	0.00018397
wait/synch/mutex/innodb/trx_sys_mutex	345468	222.3945	0.00064375
wait/synch/mutex/innodb/undo_space_rseg_mutex	535857	191.8852	0.00035809
wait/synch/mutex/innodb/sync_array_mutex	237982	167.9209	0.00070560
wait/synch/sxlock/innodb/log_sn_lock	1429607	139.4943	0.00009758
wait/synch/mutex/innodb/purge_sys_pq_mutex	158974	102.9232	0.00064742
wait/synch/mutex/innodb/lock_sys_table_mutex	158980	63.6569	0.00040041
wait/synch/mutex/innodb/trx_sys_shard_mutex	342008	49.8391	0.00014572
wait/synch/mutex/innodb/log_write_notifier_mutex	399584	33.2191	0.00008313
wait/synch/mutex/innodb/trx_undo_mutex	318007	29.1805	0.00009176
wait/synch/mutex/innodb/dict_sys_mutex	476832	25.7347	0.00005397
wait/synch/sxlock/innodb/rsegs_lock	119904	23.8061	0.00019854
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	159560	21.7814	0.00013651
wait/synch/sxlock/innodb/undo_spaces_lock	99269	21.1569	0.00021313
wait/synch/mutex/innodb/dict_table_mutex	318100	19.6301	0.00006171
wait/synch/mutex/innodb/autoinc_persisted_mutex	79385	15.9205	0.00020055
wait/synch/mutex/innodb/autoinc_mutex	79394	9.4113	0.00011854
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/sxlock/innodb/fil_space_latch	18464	3.1485	0.00017052
wait/synch/mutex/innodb/flush_list_mutex	35235	3.1427	0.00008919
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23572	3.1061	0.00013177
wait/synch/mutex/innodb/temp_space_rseg_mutex	27264	2.5066	0.00009194
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/log_flush_notifier_mutex	11646	1.3950	0.00011978
wait/synch/mutex/innodb/buf_pool_free_list_mutex	9344	1.3216	0.00014144
wait/synch/mutex/innodb/log_governor_mutex	5545	1.2791	0.00023068
wait/synch/mutex/innodb/dblwr_mutex	11842	0.7265	0.00006135
wait/synch/mutex/innodb/log_limits_mutex	5785	0.7181	0.00012413
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4836	0.3445	0.00007125
wait/synch/mutex/innodb/log_flusher_mutex	950	0.3137	0.00033016
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0380	0.00010504
wait/synch/mutex/innodb/row_drop_list_mutex	58	0.0224	0.00038608
wait/synch/mutex/innodb/log_checkpointer_mutex	67	0.0208	0.00030976
wait/synch/mutex/innodb/recalc_pool_mutex	45	0.0138	0.00030719
wait/synch/mutex/innodb/ibuf_mutex	58	0.0120	0.00020671
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0080	0.00008543
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0053	0.00011204
wait/synch/sxlock/innodb/dict_table_stats	27	0.0042	0.00015611
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0031	0.00039017
wait/synch/mutex/innodb/parser_mutex	40	0.0031	0.00007660
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0019	0.00024091
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0010	0.00017240
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0009	0.00044980
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0000	0.00004493
