## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/mutex/innodb/log_files_mutex           	5718.67        	3926.1216      	0.6866         
wait/synch/sxlock/innodb/trx_purge_latch          	5659693.33     	3280.0842      	0.0006         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1218913.67     	3127.0404      	0.0026         
wait/synch/sxlock/innodb/hash_table_locks         	17959149.33    	3012.3856      	0.0002         
wait/synch/mutex/innodb/trx_mutex                 	30821305.33    	2039.5965      	0.0001         
wait/synch/mutex/innodb/log_writer_mutex          	11661.33       	2023.6731      	0.1751         
wait/synch/mutex/innodb/lock_wait_mutex           	89200.67       	1571.0829      	0.0176         
wait/synch/mutex/innodb/fil_system_mutex          	6301685.67     	1345.1026      	0.0002         
wait/synch/mutex/innodb/trx_sys_mutex             	343258.00      	1218.7956      	0.0036         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2876395.67     	553.0683       	0.0002         
wait/synch/mutex/innodb/srv_sys_mutex             	62113.33       	550.6204       	0.0089         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	532590.67      	283.1159       	0.0005         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1238121.00     	242.0959       	0.0002         
wait/synch/mutex/innodb/sync_array_mutex          	238059.00      	157.8230       	0.0007         
wait/synch/sxlock/innodb/log_sn_lock              	1420368.33     	133.7591       	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	157945.67      	64.9293        	0.0004         
wait/synch/mutex/innodb/lock_sys_table_mutex      	157951.33      	56.7658        	0.0004         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	339887.33      	52.2088        	0.0002         
wait/synch/mutex/innodb/log_write_notifier_mutex  	397441.33      	33.7001        	0.0001         
wait/synch/mutex/innodb/trx_undo_mutex            	315933.33      	28.3961        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	119179.33      	25.2618        	0.0002         
wait/synch/mutex/innodb/dict_sys_mutex            	473723.00      	25.0242        	0.0001         
wait/synch/sxlock/innodb/fil_space_latch          	18464.67       	22.9318        	0.0012         
wait/synch/sxlock/innodb/undo_spaces_lock         	98651.67       	20.7187        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	316024.00      	20.0494        	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	158530.67      	19.4108        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	78868.33       	17.2236        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	78877.33       	8.9313         	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.3734         	0.0001         
wait/synch/mutex/innodb/flush_list_mutex          	33160.33       	3.4725         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22052.33       	3.3789         	0.0002         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	27136.00       	2.5395         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.8597         	0.0124         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	9361.33        	1.4706         	0.0002         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11359.00       	1.3837         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5553.67        	1.3618         	0.0002         
wait/synch/mutex/innodb/log_flusher_mutex         	868.67         	1.1717         	0.0013         
wait/synch/mutex/innodb/log_limits_mutex          	5799.33        	0.7717         	0.0001         
wait/synch/mutex/innodb/dblwr_mutex               	11077.67       	0.6796         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	5048.67        	0.3753         	0.0001         
wait/synch/mutex/innodb/page_cleaner_mutex        	358.00         	0.0339         	0.0001         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.00          	0.0228         	0.0004         
wait/synch/mutex/innodb/log_checkpointer_mutex    	67.67          	0.0208         	0.0003         
wait/synch/mutex/innodb/recalc_pool_mutex         	44.67          	0.0138         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	59.00          	0.0126         	0.0002         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	47.00          	0.0087         	0.0002         
wait/synch/mutex/innodb/trx_pool_mutex            	94.00          	0.0076         	0.0001         
wait/synch/sxlock/innodb/dict_table_stats         	27.00          	0.0043         	0.0002         
wait/synch/mutex/innodb/parser_mutex              	40.00          	0.0031         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0027         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0021         	0.0003         
wait/synch/sxlock/innodb/dict_operation_lock      	6.33           	0.0011         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0005         	0.0004         
wait/synch/mutex/innodb/ibuf_bitmap_mutex         	0.33           	0.0001         	0.0001         
wait/synch/mutex/innodb/innobase_share_mutex      	1.00           	0.0000         	0.0001         
