EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/log_files_mutex	5688	4122.2142	0.72472120
wait/synch/sxlock/innodb/hash_table_locks	20169795	3286.4387	0.00016294
wait/synch/sxlock/innodb/trx_purge_latch	6440582	2877.3962	0.00044676
wait/synch/mutex/innodb/log_writer_mutex	11610	2326.8885	0.20042106
wait/synch/mutex/innodb/trx_mutex	34135801	2041.0658	0.00005979
wait/synch/mutex/innodb/lock_sys_page_mutex	1341567	1316.4898	0.00098131
wait/synch/mutex/innodb/trx_sys_mutex	380426	1280.7271	0.00336656
wait/synch/mutex/innodb/fil_system_mutex	7153336	912.9016	0.00012762
wait/synch/sxlock/innodb/index_tree_rw_lock	3220356	629.5566	0.00019549
wait/synch/mutex/innodb/sync_array_mutex	1817686	491.4119	0.00027035
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1364811	244.8466	0.00017940
wait/synch/mutex/innodb/undo_space_rseg_mutex	590288	228.3648	0.00038687
wait/synch/sxlock/innodb/fil_space_latch	20642	215.1505	0.01042295
wait/synch/mutex/innodb/lock_wait_mutex	85699	191.1008	0.00222991
wait/synch/sxlock/innodb/log_sn_lock	1573314	142.0464	0.00009028
wait/synch/mutex/innodb/srv_sys_mutex	64566	65.5266	0.00101488
wait/synch/mutex/innodb/lock_sys_table_mutex	174988	61.7600	0.00035294
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	175568	54.9515	0.00031299
wait/synch/mutex/innodb/trx_sys_shard_mutex	372951	52.9846	0.00014207
wait/synch/mutex/innodb/purge_sys_pq_mutex	174980	47.0053	0.00026863
wait/synch/mutex/innodb/log_write_notifier_mutex	409269	42.4822	0.00010380
wait/synch/mutex/innodb/dict_sys_mutex	524819	32.7934	0.00006249
wait/synch/mutex/innodb/trx_undo_mutex	350018	28.1640	0.00008046
wait/synch/sxlock/innodb/rsegs_lock	128550	26.5288	0.00020637
wait/synch/sxlock/innodb/undo_spaces_lock	107546	25.0271	0.00023271
wait/synch/mutex/innodb/dict_table_mutex	350126	23.1612	0.00006615
wait/synch/mutex/innodb/autoinc_persisted_mutex	87368	15.8726	0.00018168
wait/synch/mutex/innodb/autoinc_mutex	87377	11.1070	0.00012712
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.3734	0.00006472
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	24200	4.7043	0.00019439
wait/synch/mutex/innodb/flush_list_mutex	36245	3.1408	0.00008665
wait/synch/mutex/innodb/temp_space_rseg_mutex	30208	2.7835	0.00009214
wait/synch/mutex/innodb/parallel_read_mutex	150	1.8597	0.01239792
wait/synch/mutex/innodb/buf_pool_free_list_mutex	10429	1.5223	0.00014597
wait/synch/mutex/innodb/log_flush_notifier_mutex	12092	1.4638	0.00012106
wait/synch/mutex/innodb/log_governor_mutex	5514	1.2055	0.00021862
wait/synch/mutex/innodb/log_limits_mutex	5761	0.8302	0.00014410
wait/synch/mutex/innodb/dblwr_mutex	12157	0.8236	0.00006775
wait/synch/mutex/innodb/log_flusher_mutex	1081	0.6186	0.00057228
wait/synch/mutex/innodb/recalc_pool_mutex	51	0.4549	0.00892021
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	5375	0.3870	0.00007200
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0315	0.00008697
wait/synch/mutex/innodb/log_checkpointer_mutex	69	0.0219	0.00031706
wait/synch/mutex/innodb/row_drop_list_mutex	58	0.0216	0.00037322
wait/synch/mutex/innodb/ibuf_mutex	58	0.0126	0.00021744
wait/synch/mutex/innodb/trx_pool_mutex	104	0.0081	0.00007813
wait/synch/mutex/innodb/trx_pool_manager_mutex	52	0.0060	0.00011560
wait/synch/sxlock/innodb/dict_table_stats	29	0.0046	0.00015949
wait/synch/mutex/innodb/parser_mutex	48	0.0035	0.00007216
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	9	0.0026	0.00028914
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	9	0.0022	0.00024856
wait/synch/sxlock/innodb/dict_operation_lock	7	0.0013	0.00018246
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0003	0.00032982
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0000	0.00004684
