## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/mutex/innodb/log_files_mutex           	5730.00        	3479.0311      	0.6068         
wait/synch/sxlock/innodb/hash_table_locks         	20031086.33    	3185.4497      	0.0002         
wait/synch/sxlock/innodb/trx_purge_latch          	6299867.00     	2620.3679      	0.0004         
wait/synch/mutex/innodb/log_writer_mutex          	14797.33       	2011.2507      	0.1350         
wait/synch/mutex/innodb/trx_mutex                 	34561021.00    	2002.8260      	0.0001         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1361134.67     	973.7337       	0.0007         
wait/synch/mutex/innodb/fil_system_mutex          	7021686.00     	861.9226       	0.0001         
wait/synch/sxlock/innodb/index_tree_rw_lock       	3204565.67     	592.8989       	0.0002         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	598246.00      	413.8847       	0.0007         
wait/synch/mutex/innodb/trx_sys_mutex             	385349.33      	346.3514       	0.0009         
wait/synch/mutex/innodb/lock_wait_mutex           	90455.33       	305.2445       	0.0034         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1384718.67     	246.1463       	0.0002         
wait/synch/mutex/innodb/sync_array_mutex          	538268.33      	158.9466       	0.0003         
wait/synch/sxlock/innodb/log_sn_lock              	1593463.67     	137.6106       	0.0001         
wait/synch/mutex/innodb/srv_sys_mutex             	70078.33       	86.3394        	0.0012         
wait/synch/mutex/innodb/lock_sys_table_mutex      	177208.67      	53.4566        	0.0003         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	378853.00      	50.1448        	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	177791.33      	45.7965        	0.0003         
wait/synch/mutex/innodb/log_write_notifier_mutex  	372973.33      	34.1695        	0.0001         
wait/synch/mutex/innodb/dict_sys_mutex            	531411.67      	29.4880        	0.0001         
wait/synch/sxlock/innodb/fil_space_latch          	20851.33       	28.5915        	0.0014         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	177203.67      	26.6241        	0.0002         
wait/synch/mutex/innodb/trx_undo_mutex            	354443.00      	26.4869        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	133544.00      	25.8169        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	110590.00      	22.9729        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	354507.00      	22.0812        	0.0001         
wait/synch/mutex/innodb/log_flusher_mutex         	968.67         	19.3093        	0.0205         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	88471.00       	15.9965        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	88480.00       	12.3251        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.3734         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	30720.00       	3.9028         	0.0001         
wait/synch/mutex/innodb/flush_list_mutex          	38885.00       	3.5730         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	25998.33       	2.2700         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.8597         	0.0124         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	12437.00       	1.7228         	0.0001         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	10507.33       	1.5178         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5557.67        	1.4971         	0.0003         
wait/synch/mutex/innodb/dblwr_mutex               	13115.00       	0.7950         	0.0001         
wait/synch/mutex/innodb/log_limits_mutex          	5801.67        	0.7575         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	5415.00        	0.4509         	0.0001         
wait/synch/mutex/innodb/recalc_pool_mutex         	48.67          	0.0903         	0.0018         
wait/synch/mutex/innodb/row_drop_list_mutex       	60.00          	0.0482         	0.0008         
wait/synch/mutex/innodb/page_cleaner_mutex        	362.00         	0.0368         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	68.33          	0.0223         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	60.00          	0.0127         	0.0002         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	47.00          	0.0079         	0.0002         
wait/synch/mutex/innodb/trx_pool_mutex            	94.00          	0.0078         	0.0001         
wait/synch/sxlock/innodb/dict_table_stats         	27.00          	0.0042         	0.0002         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.67           	0.0030         	0.0003         
wait/synch/mutex/innodb/parser_mutex              	40.00          	0.0027         	0.0001         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.67           	0.0022         	0.0003         
wait/synch/sxlock/innodb/dict_operation_lock      	6.33           	0.0015         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0004         	0.0003         
