run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	328.44	6568.80	24.27	6.91	4.27	1897.28	NA	0.00
2	309.17	6183.38	25.68	53.85	4.27	2014.64	NA	0.00
3	356.24	7124.84	22.36	7.30	4.35	2083.73	NA	0.00
4	307.55	6151.00	26.01	82.96	4.12	1523.97	NA	0.00
5	294.08	5881.62	26.99	84.47	4.18	1851.60	NA	0.00
6	304.25	6084.93	26.26	57.87	4.21	1938.02	NA	0.00
7	329.78	6595.68	24.13	14.21	4.17	1556.93	NA	0.00
8	319.30	6385.95	25.05	53.85	4.21	1951.27	NA	0.00
9	344.86	6897.24	23.20	51.94	4.29	1909.99	NA	0.00
10	304.69	6093.70	26.21	74.46	4.18	1784.52	NA	0.00
