server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
broadwell-xl170	large-multiplier	4	0	1	1123.35	3.56	9.56
broadwell-xl170	large-multiplier	4	5	1	1115.10	3.59	9.56
broadwell-xl170	large-multiplier	4	10	1	1119.16	3.57	9.56
broadwell-xl170	large-multiplier	4	25	1	1116.35	3.58	9.56
broadwell-xl170	large-multiplier	4	50	1	1119.86	3.57	9.56
broadwell-xl170	large-multiplier	4	75	1	1113.64	3.59	9.56
broadwell-xl170	large-multiplier	4	100	1	1123.82	3.56	9.56
broadwell-xl170	large-multiplier	4	150	1	1103.32	3.62	9.73
broadwell-xl170	large-multiplier	4	200	1	1111.53	3.60	9.73
broadwell-xl170	large-multiplier	4	300	1	1108.98	3.61	9.56
broadwell-xl170	large-multiplier	4	500	1	1109.72	3.60	9.73
broadwell-xl170	large-multiplier	4	0	2	1106.82	3.61	9.56
broadwell-xl170	large-multiplier	4	5	2	1121.26	3.57	9.56
broadwell-xl170	large-multiplier	4	10	2	1106.16	3.61	9.73
broadwell-xl170	large-multiplier	4	25	2	1118.80	3.57	9.56
broadwell-xl170	large-multiplier	4	50	2	1124.16	3.56	9.56
broadwell-xl170	large-multiplier	4	75	2	1103.15	3.62	9.73
broadwell-xl170	large-multiplier	4	100	2	1108.03	3.61	9.56
broadwell-xl170	large-multiplier	4	150	2	1106.28	3.61	9.73
broadwell-xl170	large-multiplier	4	200	2	1113.57	3.59	9.56
broadwell-xl170	large-multiplier	4	300	2	1104.63	3.62	9.73
broadwell-xl170	large-multiplier	4	500	2	1107.10	3.61	9.73
broadwell-xl170	large-multiplier	4	0	3	1109.56	3.60	9.73
broadwell-xl170	large-multiplier	4	5	3	1102.45	3.63	9.73
broadwell-xl170	large-multiplier	4	10	3	1101.41	3.63	9.73
broadwell-xl170	large-multiplier	4	25	3	1111.20	3.60	9.56
broadwell-xl170	large-multiplier	4	50	3	1113.40	3.59	9.73
broadwell-xl170	large-multiplier	4	75	3	1117.83	3.58	9.56
broadwell-xl170	large-multiplier	4	100	3	1118.77	3.57	9.56
broadwell-xl170	large-multiplier	4	150	3	1122.30	3.56	9.56
broadwell-xl170	large-multiplier	4	200	3	1111.47	3.60	9.73
broadwell-xl170	large-multiplier	4	300	3	1108.36	3.61	9.73
broadwell-xl170	large-multiplier	4	500	3	1110.12	3.60	9.73
broadwell-xl170	large-multiplier	4	0	4	1117.74	3.58	9.56
broadwell-xl170	large-multiplier	4	5	4	1111.34	3.60	9.56
broadwell-xl170	large-multiplier	4	10	4	1112.24	3.59	9.56
broadwell-xl170	large-multiplier	4	25	4	1112.55	3.59	9.56
broadwell-xl170	large-multiplier	4	50	4	1112.24	3.59	9.73
broadwell-xl170	large-multiplier	4	75	4	1122.57	3.56	9.56
broadwell-xl170	large-multiplier	4	100	4	1106.88	3.61	9.56
broadwell-xl170	large-multiplier	4	150	4	1110.61	3.60	9.56
broadwell-xl170	large-multiplier	4	200	4	1111.03	3.60	9.56
broadwell-xl170	large-multiplier	4	300	4	1103.32	3.62	9.73
broadwell-xl170	large-multiplier	4	500	4	1114.13	3.59	9.73
broadwell-xl170	large-multiplier	4	0	5	1121.32	3.57	9.56
broadwell-xl170	large-multiplier	4	5	5	1117.68	3.58	9.73
broadwell-xl170	large-multiplier	4	10	5	1095.05	3.65	9.91
broadwell-xl170	large-multiplier	4	25	5	1039.59	3.85	10.65
broadwell-xl170	large-multiplier	4	50	5	1034.00	3.87	11.04
broadwell-xl170	large-multiplier	4	75	5	1035.00	3.86	11.04
broadwell-xl170	large-multiplier	4	100	5	1021.90	3.91	11.04
broadwell-xl170	large-multiplier	4	150	5	1033.80	3.87	10.84
broadwell-xl170	large-multiplier	4	200	5	1028.47	3.89	10.84
broadwell-xl170	large-multiplier	4	300	5	992.63	4.03	11.87
broadwell-xl170	large-multiplier	4	500	5	899.51	4.45	13.95
broadwell-xl170	large-multiplier	8	0	1	906.77	8.82	34.33
broadwell-xl170	large-multiplier	8	5	1	940.53	8.50	31.94
broadwell-xl170	large-multiplier	8	10	1	883.78	9.05	34.95
broadwell-xl170	large-multiplier	8	25	1	922.47	8.67	32.53
broadwell-xl170	large-multiplier	8	50	1	905.50	8.83	33.72
broadwell-xl170	large-multiplier	8	75	1	917.99	8.71	33.12
broadwell-xl170	large-multiplier	8	100	1	858.97	9.31	34.95
broadwell-xl170	large-multiplier	8	150	1	902.61	8.86	33.72
broadwell-xl170	large-multiplier	8	200	1	897.00	8.91	33.72
broadwell-xl170	large-multiplier	8	300	1	869.68	9.20	35.59
broadwell-xl170	large-multiplier	8	500	1	933.27	8.56	31.94
broadwell-xl170	large-multiplier	8	0	2	935.99	8.54	31.94
broadwell-xl170	large-multiplier	8	5	2	932.47	8.57	32.53
broadwell-xl170	large-multiplier	8	10	2	908.88	8.80	33.72
broadwell-xl170	large-multiplier	8	25	2	916.00	8.72	33.72
broadwell-xl170	large-multiplier	8	50	2	911.76	8.77	33.12
broadwell-xl170	large-multiplier	8	75	2	926.67	8.63	32.53
broadwell-xl170	large-multiplier	8	100	2	951.33	8.40	31.37
broadwell-xl170	large-multiplier	8	150	2	897.44	8.91	33.72
broadwell-xl170	large-multiplier	8	200	2	829.19	9.64	38.25
broadwell-xl170	large-multiplier	8	300	2	885.34	9.03	34.95
broadwell-xl170	large-multiplier	8	500	2	940.98	8.50	31.37
broadwell-xl170	large-multiplier	8	0	3	913.30	8.76	33.72
broadwell-xl170	large-multiplier	8	5	3	949.48	8.42	31.37
broadwell-xl170	large-multiplier	8	10	3	954.99	8.37	31.37
broadwell-xl170	large-multiplier	8	25	3	911.87	8.77	33.72
broadwell-xl170	large-multiplier	8	50	3	938.76	8.52	31.94
broadwell-xl170	large-multiplier	8	75	3	935.14	8.55	32.53
broadwell-xl170	large-multiplier	8	100	3	977.12	8.18	30.26
