server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
ivy-c8220	large-multiplier	4	0	1	56.44	70.81	450.77
ivy-c8220	large-multiplier	4	5	1	59.83	66.85	442.73
ivy-c8220	large-multiplier	4	10	1	50.29	79.36	502.20
ivy-c8220	large-multiplier	4	25	1	66.33	60.27	458.96
ivy-c8220	large-multiplier	4	50	1	50.54	78.50	511.33
ivy-c8220	large-multiplier	4	75	1	59.66	66.89	475.79
ivy-c8220	large-multiplier	4	100	1	60.39	66.23	467.30
ivy-c8220	large-multiplier	4	150	1	55.83	71.48	475.79
ivy-c8220	large-multiplier	4	200	1	59.46	67.27	458.96
ivy-c8220	large-multiplier	4	300	1	61.39	64.58	458.96
ivy-c8220	large-multiplier	4	500	1	55.86	71.60	475.79
ivy-c8220	large-multiplier	4	0	2	57.98	68.33	467.30
ivy-c8220	large-multiplier	4	5	2	57.02	69.70	493.24
ivy-c8220	large-multiplier	4	10	2	59.31	67.43	458.96
ivy-c8220	large-multiplier	4	25	2	55.60	71.94	458.96
ivy-c8220	large-multiplier	4	50	2	61.06	65.23	458.96
ivy-c8220	large-multiplier	4	75	2	55.73	71.67	484.44
ivy-c8220	large-multiplier	4	100	2	58.40	68.49	458.96
ivy-c8220	large-multiplier	4	150	2	60.09	66.56	493.24
ivy-c8220	large-multiplier	4	200	2	59.96	66.70	450.77
ivy-c8220	large-multiplier	4	300	2	59.85	66.15	450.77
ivy-c8220	large-multiplier	4	500	2	54.49	73.41	484.44
ivy-c8220	large-multiplier	4	0	3	62.77	63.19	442.73
ivy-c8220	large-multiplier	4	5	3	55.10	72.56	484.44
ivy-c8220	large-multiplier	4	10	3	59.59	67.09	467.30
ivy-c8220	large-multiplier	4	25	3	55.85	71.09	467.30
ivy-c8220	large-multiplier	4	50	3	53.35	74.45	493.24
ivy-c8220	large-multiplier	4	75	3	58.22	68.70	467.30
ivy-c8220	large-multiplier	4	100	3	61.46	65.01	442.73
ivy-c8220	large-multiplier	4	150	3	56.08	70.92	493.24
ivy-c8220	large-multiplier	4	200	3	58.23	68.69	484.44
ivy-c8220	large-multiplier	4	300	3	59.83	66.85	475.79
ivy-c8220	large-multiplier	4	500	3	57.41	69.56	493.24
ivy-c8220	large-multiplier	4	0	4	60.68	65.73	458.96
ivy-c8220	large-multiplier	4	5	4	58.52	68.29	467.30
ivy-c8220	large-multiplier	4	10	4	56.31	70.89	475.79
