server	variant	threads	multiplier	round	tps	lat_avg_ms	lat_p95_ms
skylake-c220g5	large-multiplier	4	0	1	859.37	4.65	11.87
skylake-c220g5	large-multiplier	4	5	1	848.98	4.71	11.87
skylake-c220g5	large-multiplier	4	10	1	847.12	4.72	12.08
skylake-c220g5	large-multiplier	4	25	1	855.08	4.68	11.87
skylake-c220g5	large-multiplier	4	50	1	846.94	4.72	11.87
skylake-c220g5	large-multiplier	4	75	1	847.72	4.72	12.08
skylake-c220g5	large-multiplier	4	100	1	843.59	4.74	11.87
skylake-c220g5	large-multiplier	4	150	1	843.97	4.74	11.87
skylake-c220g5	large-multiplier	4	200	1	837.79	4.77	12.08
skylake-c220g5	large-multiplier	4	300	1	833.21	4.80	12.08
skylake-c220g5	large-multiplier	4	500	1	816.94	4.89	12.52
skylake-c220g5	large-multiplier	4	0	2	844.94	4.73	12.08
skylake-c220g5	large-multiplier	4	5	2	835.55	4.79	12.30
skylake-c220g5	large-multiplier	4	10	2	815.92	4.90	12.98
skylake-c220g5	large-multiplier	4	25	2	803.19	4.98	12.98
skylake-c220g5	large-multiplier	4	50	2	801.24	4.99	12.98
skylake-c220g5	large-multiplier	4	75	2	811.11	4.93	12.98
skylake-c220g5	large-multiplier	4	100	2	796.00	5.02	13.46
skylake-c220g5	large-multiplier	4	150	2	798.33	5.01	13.22
skylake-c220g5	large-multiplier	4	200	2	790.17	5.06	12.98
skylake-c220g5	large-multiplier	4	300	2	790.59	5.06	13.22
skylake-c220g5	large-multiplier	4	500	2	781.93	5.11	13.46
skylake-c220g5	large-multiplier	4	0	3	799.30	5.00	13.22
skylake-c220g5	large-multiplier	4	5	3	802.41	4.98	13.22
skylake-c220g5	large-multiplier	4	10	3	800.30	5.00	12.98
skylake-c220g5	large-multiplier	4	25	3	802.69	4.98	13.22
skylake-c220g5	large-multiplier	4	50	3	798.85	5.00	12.98
skylake-c220g5	large-multiplier	4	75	3	797.83	5.01	13.22
skylake-c220g5	large-multiplier	4	100	3	797.16	5.02	12.98
skylake-c220g5	large-multiplier	4	150	3	797.56	5.01	12.98
skylake-c220g5	large-multiplier	4	200	3	792.78	5.04	12.98
skylake-c220g5	large-multiplier	4	300	3	788.91	5.07	13.22
skylake-c220g5	large-multiplier	4	500	3	775.66	5.16	13.46
skylake-c220g5	large-multiplier	4	0	4	793.19	5.04	12.98
skylake-c220g5	large-multiplier	4	5	4	804.68	4.97	12.98
skylake-c220g5	large-multiplier	4	10	4	805.89	4.96	12.98
skylake-c220g5	large-multiplier	4	25	4	802.08	4.99	12.98
skylake-c220g5	large-multiplier	4	50	4	803.71	4.98	12.98
skylake-c220g5	large-multiplier	4	75	4	794.07	5.04	13.22
skylake-c220g5	large-multiplier	4	100	4	796.91	5.02	12.98
skylake-c220g5	large-multiplier	4	150	4	791.01	5.06	13.22
skylake-c220g5	large-multiplier	4	200	4	783.91	5.10	13.22
skylake-c220g5	large-multiplier	4	300	4	785.13	5.09	13.22
skylake-c220g5	large-multiplier	4	500	4	775.44	5.16	13.70
skylake-c220g5	large-multiplier	4	0	5	799.57	5.00	13.22
skylake-c220g5	large-multiplier	4	5	5	799.46	5.00	13.46
skylake-c220g5	large-multiplier	4	10	5	801.33	4.99	13.22
skylake-c220g5	large-multiplier	4	25	5	791.68	5.05	13.22
skylake-c220g5	large-multiplier	4	50	5	792.59	5.05	13.22
skylake-c220g5	large-multiplier	4	75	5	791.28	5.05	13.22
skylake-c220g5	large-multiplier	4	100	5	792.77	5.04	13.22
skylake-c220g5	large-multiplier	4	150	5	784.50	5.10	13.46
skylake-c220g5	large-multiplier	4	200	5	791.88	5.05	13.22
skylake-c220g5	large-multiplier	4	300	5	771.17	5.19	13.95
skylake-c220g5	large-multiplier	4	500	5	767.72	5.21	13.70
skylake-c220g5	large-multiplier	8	0	1	943.41	8.48	27.66
skylake-c220g5	large-multiplier	8	5	1	918.79	8.71	28.67
skylake-c220g5	large-multiplier	8	10	1	908.63	8.80	28.67
skylake-c220g5	large-multiplier	8	25	1	913.82	8.75	29.19
skylake-c220g5	large-multiplier	8	50	1	886.50	9.02	30.26
skylake-c220g5	large-multiplier	8	75	1	903.70	8.85	29.19
skylake-c220g5	large-multiplier	8	100	1	890.58	8.98	29.72
skylake-c220g5	large-multiplier	8	150	1	856.98	9.33	31.37
skylake-c220g5	large-multiplier	8	200	1	821.50	9.74	33.12
skylake-c220g5	large-multiplier	8	300	1	882.19	9.07	29.19
skylake-c220g5	large-multiplier	8	500	1	845.24	9.46	29.72
skylake-c220g5	large-multiplier	8	0	2	910.97	8.78	29.19
skylake-c220g5	large-multiplier	8	5	2	901.95	8.87	28.67
skylake-c220g5	large-multiplier	8	10	2	915.34	8.74	29.19
skylake-c220g5	large-multiplier	8	25	2	903.58	8.85	29.19
skylake-c220g5	large-multiplier	8	50	2	907.64	8.81	29.19
skylake-c220g5	large-multiplier	8	75	2	906.77	8.82	29.19
skylake-c220g5	large-multiplier	8	100	2	902.00	8.87	29.19
skylake-c220g5	large-multiplier	8	150	2	896.74	8.92	29.19
skylake-c220g5	large-multiplier	8	200	2	899.82	8.89	28.67
skylake-c220g5	large-multiplier	8	300	2	883.35	9.05	28.67
skylake-c220g5	large-multiplier	8	500	2	875.56	9.13	28.16
skylake-c220g5	large-multiplier	8	0	3	917.36	8.72	28.16
skylake-c220g5	large-multiplier	8	5	3	916.73	8.72	28.67
skylake-c220g5	large-multiplier	8	10	3	919.48	8.70	28.67
skylake-c220g5	large-multiplier	8	25	3	908.20	8.81	29.19
skylake-c220g5	large-multiplier	8	50	3	905.20	8.84	29.19
skylake-c220g5	large-multiplier	8	75	3	914.85	8.74	28.67
skylake-c220g5	large-multiplier	8	100	3	872.82	9.16	30.26
skylake-c220g5	large-multiplier	8	150	3	894.57	8.94	28.67
skylake-c220g5	large-multiplier	8	200	3	851.59	9.39	31.37
skylake-c220g5	large-multiplier	8	300	3	866.21	9.23	30.26
skylake-c220g5	large-multiplier	8	500	3	783.25	10.21	34.95
skylake-c220g5	large-multiplier	8	0	4	884.94	9.04	29.72
skylake-c220g5	large-multiplier	8	5	4	910.93	8.78	29.72
skylake-c220g5	large-multiplier	8	10	4	909.78	8.79	29.19
skylake-c220g5	large-multiplier	8	25	4	919.85	8.69	28.67
skylake-c220g5	large-multiplier	8	50	4	883.60	9.05	30.81
skylake-c220g5	large-multiplier	8	75	4	907.11	8.82	29.19
skylake-c220g5	large-multiplier	8	100	4	850.94	9.40	32.53
skylake-c220g5	large-multiplier	8	150	4	876.19	9.13	30.81
skylake-c220g5	large-multiplier	8	200	4	880.08	9.09	29.72
skylake-c220g5	large-multiplier	8	300	4	874.97	9.14	29.72
skylake-c220g5	large-multiplier	8	500	4	866.35	9.23	29.72
skylake-c220g5	large-multiplier	8	0	5	932.65	8.58	28.16
skylake-c220g5	large-multiplier	8	5	5	917.10	8.72	28.67
skylake-c220g5	large-multiplier	8	10	5	758.76	10.54	38.94
skylake-c220g5	large-multiplier	8	25	5	871.56	9.18	31.94
skylake-c220g5	large-multiplier	8	50	5	849.30	9.42	32.53
skylake-c220g5	large-multiplier	8	75	5	899.54	8.89	29.72
skylake-c220g5	large-multiplier	8	100	5	906.96	8.82	28.67
skylake-c220g5	large-multiplier	8	150	5	902.73	8.86	28.67
skylake-c220g5	large-multiplier	8	200	5	904.28	8.84	28.67
skylake-c220g5	large-multiplier	8	300	5	876.91	9.12	29.72
skylake-c220g5	large-multiplier	8	500	5	867.92	9.22	29.19
skylake-c220g5	large-multiplier	16	0	1	779.29	20.53	65.65
skylake-c220g5	large-multiplier	16	5	1	648.15	24.68	86.00
skylake-c220g5	large-multiplier	16	10	1	741.46	21.56	68.05
skylake-c220g5	large-multiplier	16	25	1	678.33	23.58	78.60
skylake-c220g5	large-multiplier	16	50	1	683.73	23.38	75.82
skylake-c220g5	large-multiplier	16	75	1	697.69	22.93	71.83
skylake-c220g5	large-multiplier	16	100	1	682.34	23.43	75.82
skylake-c220g5	large-multiplier	16	150	1	698.85	22.89	70.55
skylake-c220g5	large-multiplier	16	200	1	680.15	23.51	74.46
skylake-c220g5	large-multiplier	16	300	1	697.75	22.93	69.29
skylake-c220g5	large-multiplier	16	500	1	700.38	22.84	69.29
skylake-c220g5	large-multiplier	16	0	2	770.54	20.75	66.84
skylake-c220g5	large-multiplier	16	5	2	746.55	21.42	66.84
skylake-c220g5	large-multiplier	16	10	2	726.36	22.02	70.55
skylake-c220g5	large-multiplier	16	25	2	713.30	22.42	73.13
skylake-c220g5	large-multiplier	16	50	2	714.85	22.37	71.83
skylake-c220g5	large-multiplier	16	75	2	708.06	22.59	74.46
skylake-c220g5	large-multiplier	16	100	2	635.53	25.17	84.47
skylake-c220g5	large-multiplier	16	150	2	686.51	23.30	77.19
skylake-c220g5	large-multiplier	16	200	2	688.83	23.22	74.46
skylake-c220g5	large-multiplier	16	300	2	671.53	23.82	75.82
skylake-c220g5	large-multiplier	16	500	2	705.93	22.66	69.29
skylake-c220g5	large-multiplier	16	0	3	758.21	21.10	68.05
skylake-c220g5	large-multiplier	16	5	3	672.90	23.76	78.60
skylake-c220g5	large-multiplier	16	10	3	672.08	23.79	78.60
skylake-c220g5	large-multiplier	16	25	3	656.67	24.35	81.48
skylake-c220g5	large-multiplier	16	50	3	714.32	22.39	71.83
skylake-c220g5	large-multiplier	16	75	3	699.38	22.87	69.29
skylake-c220g5	large-multiplier	16	100	3	642.69	24.89	77.19
skylake-c220g5	large-multiplier	16	150	3	613.87	26.05	84.47
skylake-c220g5	large-multiplier	16	200	3	667.49	23.96	73.13
skylake-c220g5	large-multiplier	16	300	3	629.99	25.39	81.48
skylake-c220g5	large-multiplier	16	500	3	638.89	25.03	74.46
skylake-c220g5	large-multiplier	16	0	4	678.33	23.58	73.13
skylake-c220g5	large-multiplier	16	5	4	610.32	26.21	86.00
skylake-c220g5	large-multiplier	16	10	4	633.53	25.24	81.48
skylake-c220g5	large-multiplier	16	25	4	592.12	27.01	87.56
skylake-c220g5	large-multiplier	16	50	4	541.48	29.53	97.55
