EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5707275	3726.8746	0.00065300
wait/synch/mutex/innodb/log_files_mutex	5695	3232.1937	0.56754937
wait/synch/sxlock/innodb/hash_table_locks	18024617	3055.5711	0.00016952
wait/synch/mutex/innodb/log_writer_mutex	12048	2568.2416	0.21316747
wait/synch/mutex/innodb/lock_sys_page_mutex	1216943	2322.5826	0.00190854
wait/synch/mutex/innodb/trx_mutex	30823280	2018.5911	0.00006549
wait/synch/mutex/innodb/fil_system_mutex	6351339	1362.5216	0.00021453
wait/synch/mutex/innodb/lock_wait_mutex	86131	1354.5112	0.01572618
wait/synch/mutex/innodb/srv_sys_mutex	61932	594.2595	0.00959535
wait/synch/sxlock/innodb/index_tree_rw_lock	2882383	538.6273	0.00018687
wait/synch/mutex/innodb/undo_space_rseg_mutex	533443	353.4200	0.00066253
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1238213	248.3927	0.00020061
wait/synch/mutex/innodb/sync_array_mutex	247136	158.6295	0.00064187
wait/synch/mutex/innodb/trx_sys_mutex	343419	145.5249	0.00042375
wait/synch/sxlock/innodb/log_sn_lock	1420999	144.4218	0.00010163
wait/synch/mutex/innodb/trx_sys_shard_mutex	339192	54.7079	0.00016129
wait/synch/mutex/innodb/lock_sys_table_mutex	158000	50.3306	0.00031855
wait/synch/mutex/innodb/log_flusher_mutex	816	48.3330	0.05923166
wait/synch/mutex/innodb/log_write_notifier_mutex	397671	36.9970	0.00009303
wait/synch/mutex/innodb/trx_undo_mutex	316001	27.5098	0.00008706
wait/synch/mutex/innodb/dict_sys_mutex	473772	26.9900	0.00005697
wait/synch/sxlock/innodb/rsegs_lock	119183	26.4167	0.00022165
wait/synch/mutex/innodb/purge_sys_pq_mutex	157994	23.6292	0.00014956
wait/synch/sxlock/innodb/undo_spaces_lock	98662	23.5855	0.00023905
wait/synch/mutex/innodb/dict_table_mutex	316069	21.2968	0.00006738
wait/synch/mutex/innodb/autoinc_persisted_mutex	78869	17.6195	0.00022340
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	158588	17.2802	0.00010896
wait/synch/mutex/innodb/autoinc_mutex	78878	11.5801	0.00014681
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.5444	0.00006678
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23770	4.2375	0.00017827
wait/synch/sxlock/innodb/fil_space_latch	18623	3.9739	0.00021339
wait/synch/mutex/innodb/flush_list_mutex	35537	3.8222	0.00010756
wait/synch/mutex/innodb/temp_space_rseg_mutex	27264	2.6994	0.00009901
wait/synch/mutex/innodb/log_governor_mutex	5529	1.5873	0.00028709
wait/synch/mutex/innodb/log_flush_notifier_mutex	11581	1.5314	0.00013223
wait/synch/mutex/innodb/parallel_read_mutex	150	1.4685	0.00979006
wait/synch/mutex/innodb/buf_pool_free_list_mutex	9470	1.3099	0.00013832
wait/synch/mutex/innodb/log_limits_mutex	5769	0.7642	0.00013246
wait/synch/mutex/innodb/dblwr_mutex	11948	0.6962	0.00005827
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4911	0.4814	0.00009803
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0371	0.00010261
wait/synch/mutex/innodb/log_checkpointer_mutex	67	0.0246	0.00036769
wait/synch/mutex/innodb/row_drop_list_mutex	59	0.0222	0.00037652
wait/synch/mutex/innodb/recalc_pool_mutex	46	0.0148	0.00032113
wait/synch/mutex/innodb/ibuf_mutex	59	0.0130	0.00022097
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0094	0.00020086
wait/synch/sxlock/innodb/dict_table_stats	65	0.0082	0.00012684
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0082	0.00008738
wait/synch/mutex/innodb/parser_mutex	40	0.0029	0.00007196
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0020	0.00025334
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0018	0.00022944
wait/synch/sxlock/innodb/dict_operation_lock	7	0.0010	0.00014845
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0003	0.00031644
wait/synch/mutex/innodb/ibuf_bitmap_mutex	1	0.0003	0.00025238
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0002	0.00021223
