## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/sxlock/innodb/trx_purge_latch          	5693046.00     	4281.5173      	0.0008         
wait/synch/mutex/innodb/log_files_mutex           	5755.67        	3766.1111      	0.6540         
wait/synch/sxlock/innodb/hash_table_locks         	17976398.00    	3063.7297      	0.0002         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1214165.67     	2219.3912      	0.0018         
wait/synch/mutex/innodb/trx_mutex                 	30743109.00    	2019.3246      	0.0001         
wait/synch/mutex/innodb/log_writer_mutex          	12011.67       	1883.4896      	0.1567         
wait/synch/mutex/innodb/fil_system_mutex          	6336856.33     	1393.6768      	0.0002         
wait/synch/mutex/innodb/lock_wait_mutex           	86307.33       	1374.2925      	0.0159         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2874248.67     	600.8699       	0.0002         
wait/synch/mutex/innodb/srv_sys_mutex             	61855.00       	559.8234       	0.0091         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	531372.33      	371.9304       	0.0007         
wait/synch/mutex/innodb/trx_sys_mutex             	342449.00      	290.2285       	0.0008         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1234353.00     	237.0450       	0.0002         
wait/synch/mutex/innodb/sync_array_mutex          	246394.33      	156.6436       	0.0006         
wait/synch/sxlock/innodb/log_sn_lock              	1416910.33     	141.4827       	0.0001         
wait/synch/mutex/innodb/trx_pool_mutex            	97.33          	69.3366        	0.7376         
wait/synch/sxlock/innodb/fil_space_latch          	18669.33       	59.7358        	0.0032         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	338354.33      	53.6038        	0.0002         
wait/synch/mutex/innodb/lock_sys_table_mutex      	157576.00      	50.2405        	0.0003         
wait/synch/mutex/innodb/log_write_notifier_mutex  	398803.33      	37.6348        	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	157571.33      	29.5078        	0.0002         
wait/synch/mutex/innodb/trx_undo_mutex            	315172.00      	26.6632        	0.0001         
wait/synch/mutex/innodb/dict_sys_mutex            	472575.33      	25.2548        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	118835.67      	24.6618        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	98383.67       	23.2144        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	315269.00      	20.9815        	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	158161.67      	17.4035        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	78675.67       	16.6808        	0.0002         
wait/synch/mutex/innodb/log_flusher_mutex         	899.33         	16.1987        	0.0198         
wait/synch/mutex/innodb/autoinc_mutex             	78684.67       	10.6097        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.5444         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	24082.00       	4.0667         	0.0002         
wait/synch/mutex/innodb/flush_list_mutex          	36061.67       	3.6232         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	27093.33       	3.1856         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5589.00        	1.6690         	0.0003         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11444.67       	1.5116         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.4685         	0.0098         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	10069.33       	1.0855         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	5988.00        	0.9082         	0.0001         
wait/synch/mutex/innodb/log_limits_mutex          	5829.67        	0.8114         	0.0001         
wait/synch/mutex/innodb/dblwr_mutex               	12104.33       	0.7524         	0.0001         
wait/synch/mutex/innodb/recalc_pool_mutex         	44.67          	0.0504         	0.0012         
wait/synch/mutex/innodb/page_cleaner_mutex        	360.00         	0.0360         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	67.33          	0.0250         	0.0004         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.33          	0.0219         	0.0004         
wait/synch/mutex/innodb/ibuf_mutex                	59.33          	0.0132         	0.0002         
wait/synch/sxlock/innodb/dict_table_stats         	64.67          	0.0079         	0.0001         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	48.67          	0.0070         	0.0001         
wait/synch/mutex/innodb/ibuf_bitmap_mutex         	21.67          	0.0040         	0.0001         
wait/synch/mutex/innodb/parser_mutex              	42.67          	0.0029         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0023         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0019         	0.0002         
wait/synch/sxlock/innodb/dict_operation_lock      	6.67           	0.0011         	0.0002         
wait/synch/mutex/innodb/innobase_share_mutex      	6.00           	0.0007         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0004         	0.0003         
