run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	213.49	4269.71	18.74	5.37	4.28	1342.94	NA	0.00
2	216.40	4327.93	18.43	5.28	4.20	1496.68	NA	0.00
3	202.96	4059.18	19.71	5.37	4.14	1321.09	NA	0.00
4	219.86	4397.14	18.19	5.28	4.25	1344.39	NA	0.00
5	201.90	4037.90	19.81	5.37	4.15	3283.00	NA	0.00
6	217.13	4342.52	18.42	5.28	4.23	1627.41	NA	0.00
7	197.45	3948.98	19.95	5.28	4.21	1394.06	NA	0.00
8	225.45	4508.94	17.67	5.28	4.24	1447.93	NA	0.00
9	205.16	4103.13	19.45	5.28	4.35	1781.77	NA	0.00
10	236.26	4725.12	16.92	5.18	4.09	1486.59	NA	0.00
