EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5691822	3232.3300	0.00056789
wait/synch/mutex/innodb/log_files_mutex	5783	3134.5107	0.54202156
wait/synch/sxlock/innodb/hash_table_locks	18815346	3046.8699	0.00016194
wait/synch/mutex/innodb/lock_sys_page_mutex	1180810	2342.7729	0.00198404
wait/synch/mutex/innodb/trx_mutex	29826943	1964.7046	0.00006587
wait/synch/mutex/innodb/trx_sys_mutex	331139	1537.7139	0.00464371
wait/synch/mutex/innodb/lock_wait_mutex	88675	1478.8777	0.01667750
wait/synch/mutex/innodb/fil_system_mutex	6589944	1436.1536	0.00021793
wait/synch/mutex/innodb/log_writer_mutex	11870	1282.3274	0.10803095
wait/synch/sxlock/innodb/index_tree_rw_lock	2920505	888.2481	0.00030414
wait/synch/mutex/innodb/srv_sys_mutex	55778	381.0234	0.00683107
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1200414	254.4386	0.00021196
wait/synch/sxlock/innodb/fil_space_latch	153240	213.9286	0.00139604
wait/synch/mutex/innodb/undo_space_rseg_mutex	513671	139.3921	0.00027136
wait/synch/mutex/innodb/sync_array_mutex	240238	138.1645	0.00057512
wait/synch/sxlock/innodb/log_sn_lock	1374778	131.0865	0.00009535
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	153443	76.6130	0.00049929
wait/synch/mutex/innodb/trx_sys_shard_mutex	329486	48.9376	0.00014853
wait/synch/mutex/innodb/lock_sys_table_mutex	152864	48.7641	0.00031900
wait/synch/mutex/innodb/log_write_notifier_mutex	397173	36.3455	0.00009151
wait/synch/mutex/innodb/purge_sys_pq_mutex	152857	36.3242	0.00023763
wait/synch/mutex/innodb/trx_undo_mutex	305755	24.8346	0.00008122
wait/synch/mutex/innodb/dict_sys_mutex	458435	24.4969	0.00005344
wait/synch/sxlock/innodb/rsegs_lock	112536	21.6225	0.00019214
wait/synch/mutex/innodb/buf_pool_free_list_mutex	279752	21.4155	0.00007655
wait/synch/sxlock/innodb/undo_spaces_lock	94083	19.7870	0.00021031
wait/synch/mutex/innodb/dict_table_mutex	305864	19.3232	0.00006318
wait/synch/mutex/innodb/autoinc_persisted_mutex	76307	15.9085	0.00020848
wait/synch/mutex/innodb/autoinc_mutex	76316	12.0550	0.00015796
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	140187	9.2793	0.00006619
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.2259	0.00006295
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23106	3.9056	0.00016903
wait/synch/mutex/innodb/flush_list_mutex	34491	3.0286	0.00008781
wait/synch/mutex/innodb/temp_space_rseg_mutex	25216	2.2733	0.00009015
wait/synch/mutex/innodb/log_flush_notifier_mutex	12974	1.5937	0.00012284
wait/synch/mutex/innodb/log_governor_mutex	5617	1.4229	0.00025332
wait/synch/mutex/innodb/parallel_read_mutex	150	1.3637	0.00909120
wait/synch/mutex/innodb/log_limits_mutex	5855	0.9273	0.00015838
wait/synch/mutex/innodb/dblwr_mutex	11614	0.6881	0.00005924
wait/synch/mutex/innodb/log_flusher_mutex	950	0.1249	0.00013149
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0408	0.00011258
wait/synch/mutex/innodb/log_checkpointer_mutex	68	0.0237	0.00034921
wait/synch/mutex/innodb/row_drop_list_mutex	59	0.0207	0.00035105
wait/synch/mutex/innodb/recalc_pool_mutex	45	0.0139	0.00030892
wait/synch/mutex/innodb/ibuf_mutex	59	0.0108	0.00018367
wait/synch/mutex/innodb/trx_pool_mutex	104	0.0082	0.00007900
wait/synch/sxlock/innodb/dict_table_stats	66	0.0079	0.00011964
wait/synch/mutex/innodb/trx_pool_manager_mutex	52	0.0068	0.00013103
wait/synch/mutex/innodb/parser_mutex	48	0.0033	0.00006829
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8	0.0021	0.00026242
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	8	0.0021	0.00025848
wait/synch/sxlock/innodb/dict_operation_lock	7	0.0020	0.00028762
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	2	0.0007	0.00034320
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0002	0.00021319
