## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/sxlock/innodb/trx_purge_latch          	5697686.33     	3419.3703      	0.0006         
wait/synch/mutex/innodb/log_files_mutex           	5754.33        	3272.6428      	0.5686         
wait/synch/sxlock/innodb/hash_table_locks         	18571702.00    	3032.9923      	0.0002         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1197272.67     	2304.5913      	0.0019         
wait/synch/mutex/innodb/trx_mutex                 	30258855.67    	1988.5136      	0.0001         
wait/synch/mutex/innodb/log_writer_mutex          	11742.00       	1754.6953      	0.1466         
wait/synch/mutex/innodb/lock_wait_mutex           	88851.67       	1523.3413      	0.0171         
wait/synch/mutex/innodb/fil_system_mutex          	6507269.67     	1430.0020      	0.0002         
wait/synch/mutex/innodb/trx_sys_mutex             	336235.33      	1354.7715      	0.0041         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2914866.00     	704.7056       	0.0002         
wait/synch/mutex/innodb/srv_sys_mutex             	57713.00       	454.7627       	0.0078         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1217096.67     	250.9464       	0.0002         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	521411.00      	180.7022       	0.0003         
wait/synch/mutex/innodb/sync_array_mutex          	240315.00      	147.1127       	0.0006         
wait/synch/sxlock/innodb/log_sn_lock              	1394463.33     	136.4314       	0.0001         
wait/synch/sxlock/innodb/fil_space_latch          	106407.67      	77.5936        	0.0006         
wait/synch/mutex/innodb/lock_sys_table_mutex      	155079.33      	57.6732        	0.0004         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	333986.33      	49.7624        	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	155073.67      	37.9383        	0.0002         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	155661.67      	37.3656        	0.0002         
wait/synch/mutex/innodb/log_write_notifier_mutex  	397520.00      	36.3250        	0.0001         
wait/synch/mutex/innodb/trx_undo_mutex            	310184.33      	27.4774        	0.0001         
wait/synch/mutex/innodb/dict_sys_mutex            	465065.33      	24.3283        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	114976.67      	23.0775        	0.0002         
wait/synch/mutex/innodb/log_flusher_mutex         	916.33         	22.0464        	0.0244         
wait/synch/sxlock/innodb/undo_spaces_lock         	95848.00       	20.8613        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	310271.33      	20.8132        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	77416.67       	15.9714        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	77425.67       	14.8115        	0.0002         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	185769.33      	13.6229        	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	93379.00       	6.4733         	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.2259         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22063.33       	3.5265         	0.0002         
wait/synch/mutex/innodb/flush_list_mutex          	33167.00       	2.9670         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	25856.00       	2.4648         	0.0001         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11870.67       	1.4817         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.3637         	0.0091         
wait/synch/mutex/innodb/log_governor_mutex        	5588.33        	1.3052         	0.0002         
wait/synch/mutex/innodb/log_limits_mutex          	5835.00        	0.9152         	0.0002         
wait/synch/mutex/innodb/dblwr_mutex               	11086.00       	0.6596         	0.0001         
wait/synch/mutex/innodb/page_cleaner_mutex        	360.00         	0.0362         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	68.00          	0.0230         	0.0003         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.33          	0.0217         	0.0004         
wait/synch/mutex/innodb/recalc_pool_mutex         	45.00          	0.0140         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	59.33          	0.0123         	0.0002         
wait/synch/mutex/innodb/trx_pool_mutex            	97.33          	0.0077         	0.0001         
wait/synch/sxlock/innodb/dict_table_stats         	64.67          	0.0070         	0.0001         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	48.67          	0.0062         	0.0001         
wait/synch/mutex/innodb/parser_mutex              	42.67          	0.0032         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0022         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0021         	0.0003         
wait/synch/sxlock/innodb/dict_operation_lock      	6.67           	0.0016         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0005         	0.0004         
wait/synch/mutex/innodb/innobase_share_mutex      	1.00           	0.0002         	0.0002         
wait/synch/mutex/innodb/ibuf_bitmap_mutex         	0.33           	0.0001         	0.0001         
