run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	304.33	6086.54	26.28	75.82	4.23	1873.52	NA	0.00
2	340.21	6804.22	23.40	28.67	4.28	1691.98	NA	0.00
3	302.28	6045.69	26.45	90.78	4.22	2442.03	NA	0.00
4	304.47	6089.40	26.25	78.60	4.15	1770.43	NA	0.00
5	308.31	6166.13	25.95	95.81	4.11	1622.60	NA	0.00
6	305.72	6114.48	26.17	89.16	4.30	1513.11	NA	0.00
7	306.63	6132.57	26.06	62.19	4.23	1827.28	NA	0.00
8	313.39	6267.88	25.41	68.05	4.28	1529.83	NA	0.00
9	297.43	5948.55	26.90	81.48	4.34	1617.95	NA	0.00
10	309.04	6180.81	25.89	43.39	4.18	1917.46	NA	0.00
