EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/sxlock/innodb/trx_purge_latch	5656162	3689.9834	0.00065238
wait/synch/sxlock/innodb/hash_table_locks	17776571	3012.7864	0.00016948
wait/synch/mutex/innodb/log_files_mutex	5770	2959.2278	0.51286443
wait/synch/mutex/innodb/trx_mutex	30396524	1877.5261	0.00006177
wait/synch/mutex/innodb/lock_sys_page_mutex	1200322	1403.7870	0.00116951
wait/synch/mutex/innodb/fil_system_mutex	6291132	1350.2746	0.00021463
wait/synch/mutex/innodb/log_writer_mutex	13422	1270.5878	0.09466457
wait/synch/sxlock/innodb/index_tree_rw_lock	2834045	532.4033	0.00018786
wait/synch/mutex/innodb/srv_sys_mutex	62294	516.5020	0.00829136
wait/synch/mutex/innodb/lock_wait_mutex	85331	291.9346	0.00342120
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1219352	256.7137	0.00021053
wait/synch/mutex/innodb/undo_space_rseg_mutex	526745	180.7338	0.00034311
wait/synch/sxlock/innodb/log_sn_lock	1401355	139.0274	0.00009921
wait/synch/mutex/innodb/trx_sys_mutex	338973	138.8896	0.00040974
wait/synch/mutex/innodb/sync_array_mutex	241204	132.0740	0.00054756
wait/synch/sxlock/innodb/fil_space_latch	18454	86.9556	0.00471202
wait/synch/mutex/innodb/lock_sys_table_mutex	155796	67.2235	0.00043148
wait/synch/mutex/innodb/trx_sys_shard_mutex	334495	53.9771	0.00016137
wait/synch/mutex/innodb/log_write_notifier_mutex	398051	37.4421	0.00009406
wait/synch/sxlock/innodb/rsegs_lock	118317	27.5328	0.00023270
wait/synch/mutex/innodb/trx_undo_mutex	311632	24.4822	0.00007856
wait/synch/mutex/innodb/dict_sys_mutex	467282	23.9031	0.00005115
wait/synch/sxlock/innodb/undo_spaces_lock	97679	19.9048	0.00020378
wait/synch/mutex/innodb/purge_sys_pq_mutex	155791	19.8989	0.00012773
wait/synch/mutex/innodb/dict_table_mutex	311728	19.0575	0.00006113
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	156382	16.7111	0.00010686
wait/synch/mutex/innodb/autoinc_persisted_mutex	77796	15.7540	0.00020250
wait/synch/mutex/innodb/autoinc_mutex	77805	9.2293	0.00011862
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.9373	0.00007152
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22984	5.0207	0.00021844
wait/synch/mutex/innodb/temp_space_rseg_mutex	27264	3.4383	0.00012611
wait/synch/mutex/innodb/flush_list_mutex	34795	3.2820	0.00009432
wait/synch/mutex/innodb/log_governor_mutex	5602	1.8359	0.00032772
wait/synch/mutex/innodb/log_flush_notifier_mutex	11473	1.5941	0.00013895
wait/synch/mutex/innodb/parallel_read_mutex	150	1.4851	0.00990067
wait/synch/mutex/innodb/buf_pool_free_list_mutex	9382	1.0193	0.00010864
wait/synch/mutex/innodb/log_limits_mutex	5847	0.8322	0.00014232
wait/synch/mutex/innodb/dblwr_mutex	11529	0.7294	0.00006326
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4850	0.6596	0.00013600
wait/synch/mutex/innodb/log_flusher_mutex	877	0.4477	0.00051050
wait/synch/mutex/innodb/log_checkpointer_mutex	69	0.0338	0.00048953
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0311	0.00008594
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0224	0.00037357
wait/synch/mutex/innodb/recalc_pool_mutex	44	0.0135	0.00030657
wait/synch/mutex/innodb/ibuf_mutex	60	0.0117	0.00019580
wait/synch/sxlock/innodb/dict_table_stats	64	0.0078	0.00012201
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0069	0.00007371
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0054	0.00011482
wait/synch/mutex/innodb/parser_mutex	40	0.0027	0.00006740
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	9	0.0025	0.00027820
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	9	0.0021	0.00023295
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0013	0.00022386
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0003	0.00031452
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0003	0.00028680
