## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/sxlock/innodb/trx_purge_latch          	5635449.00     	3591.3715      	0.0006         
wait/synch/mutex/innodb/log_files_mutex           	5754.00        	3368.0924      	0.5859         
wait/synch/sxlock/innodb/hash_table_locks         	17719417.33    	3012.3999      	0.0002         
wait/synch/mutex/innodb/trx_mutex                 	30153984.00    	1852.6600      	0.0001         
wait/synch/mutex/innodb/log_writer_mutex          	12528.33       	1641.3184      	0.1318         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1190699.33     	1402.6925      	0.0012         
wait/synch/mutex/innodb/fil_system_mutex          	6279856.67     	1324.6026      	0.0002         
wait/synch/mutex/innodb/trx_sys_mutex             	336174.33      	745.4116       	0.0022         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2817827.67     	559.0339       	0.0002         
wait/synch/mutex/innodb/srv_sys_mutex             	61452.67       	508.5278       	0.0083         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	521950.33      	437.0571       	0.0008         
wait/synch/mutex/innodb/lock_wait_mutex           	84236.33       	288.6638       	0.0034         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1210015.00     	258.5255       	0.0002         
wait/synch/sxlock/innodb/log_sn_lock              	1389891.67     	142.4208       	0.0001         
wait/synch/mutex/innodb/sync_array_mutex          	239993.67      	121.5235       	0.0005         
wait/synch/mutex/innodb/trx_pool_mutex            	97.33          	70.9904        	0.6826         
wait/synch/mutex/innodb/lock_sys_table_mutex      	154556.00      	67.0287        	0.0004         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	331720.33      	54.3367        	0.0002         
wait/synch/sxlock/innodb/fil_space_latch          	24981.67       	44.0072        	0.0020         
wait/synch/mutex/innodb/log_flusher_mutex         	925.00         	38.9132        	0.0413         
wait/synch/mutex/innodb/log_write_notifier_mutex  	399998.67      	38.8941        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	117131.00      	26.5745        	0.0002         
wait/synch/mutex/innodb/trx_undo_mutex            	309135.67      	25.4026        	0.0001         
wait/synch/mutex/innodb/dict_sys_mutex            	463546.00      	25.1558        	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	154550.67      	23.8616        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	96781.00       	19.8330        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	309241.67      	18.8729        	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	155141.00      	17.1077        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	77174.67       	16.9335        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	77183.67       	10.8213        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.9373         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23247.33       	4.2495         	0.0002         
wait/synch/mutex/innodb/flush_list_mutex          	34920.67       	3.3904         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	26880.00       	2.8919         	0.0001         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	23138.33       	1.9660         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5586.33        	1.8715         	0.0003         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11897.33       	1.6871         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.4851         	0.0099         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	12301.00       	1.3533         	0.0002         
wait/synch/mutex/innodb/log_limits_mutex          	5828.33        	0.8438         	0.0001         
wait/synch/mutex/innodb/dblwr_mutex               	11689.33       	0.8144         	0.0001         
wait/synch/mutex/innodb/page_cleaner_mutex        	361.33         	0.0358         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	67.67          	0.0276         	0.0004         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	48.67          	0.0274         	0.0005         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.67          	0.0230         	0.0004         
wait/synch/mutex/innodb/recalc_pool_mutex         	44.00          	0.0135         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	59.67          	0.0125         	0.0002         
wait/synch/sxlock/innodb/dict_table_stats         	64.67          	0.0081         	0.0001         
wait/synch/mutex/innodb/ibuf_bitmap_mutex         	24.67          	0.0038         	0.0001         
wait/synch/mutex/innodb/parser_mutex              	42.67          	0.0029         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0026         	0.0003         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0019         	0.0002         
wait/synch/sxlock/innodb/dict_operation_lock      	6.67           	0.0014         	0.0002         
wait/synch/mutex/innodb/innobase_share_mutex      	6.00           	0.0009         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0004         	0.0003         
