run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	197.33	3946.67	20.25	26.20	4.17	1617.89	NA	0.00
2	211.41	4228.27	18.91	5.37	4.24	1367.88	NA	0.00
3	205.28	4105.65	19.48	5.37	4.09	1501.29	NA	0.00
4	213.14	4262.72	18.66	5.28	4.23	1595.11	NA	0.00
5	212.18	4243.51	18.85	5.37	4.22	1408.17	NA	0.00
6	210.80	4215.97	18.97	5.28	4.14	1538.79	NA	0.00
7	215.47	4309.33	18.56	5.28	4.27	1238.97	NA	0.00
8	216.80	4335.99	18.45	5.28	4.26	1818.85	NA	0.00
9	209.36	4187.14	19.10	5.28	4.26	1362.86	NA	0.00
10	219.96	4399.30	18.18	5.28	4.28	1603.70	NA	0.00
