EVENT_NAME	COUNT_STAR	SUM_WAIT_MS	AVG_WAIT_MS
wait/synch/mutex/innodb/log_files_mutex	5875	3507.4594	0.59701436
wait/synch/sxlock/innodb/hash_table_locks	17438717	3008.6094	0.00017252
wait/synch/sxlock/innodb/trx_purge_latch	5602948	2920.7174	0.00052128
wait/synch/mutex/innodb/lock_sys_page_mutex	1171780	2175.5395	0.00185661
wait/synch/mutex/innodb/trx_mutex	29703062	1989.6309	0.00006698
wait/synch/mutex/innodb/log_writer_mutex	11657	1357.8932	0.11648737
wait/synch/mutex/innodb/lock_wait_mutex	81310	1339.7767	0.01647739
wait/synch/mutex/innodb/fil_system_mutex	6221994	1330.7810	0.00021388
wait/synch/mutex/innodb/trx_sys_mutex	331605	1130.8414	0.00341021
wait/synch/mutex/innodb/srv_sys_mutex	60834	551.9768	0.00907349
wait/synch/sxlock/innodb/index_tree_rw_lock	2767625	525.6081	0.00018991
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	152844	265.2813	0.00173563
wait/synch/mutex/innodb/undo_space_rseg_mutex	514819	240.1167	0.00046641
wait/synch/sxlock/innodb/lock_sys_global_rw_lock	1191492	233.3233	0.00019582
wait/synch/mutex/innodb/sync_array_mutex	232270	137.8291	0.00059340
wait/synch/sxlock/innodb/log_sn_lock	1369319	136.2581	0.00009951
wait/synch/sxlock/innodb/fil_space_latch	17448	115.1023	0.00659687
wait/synch/mutex/innodb/trx_sys_shard_mutex	326512	54.5508	0.00016707
wait/synch/mutex/innodb/lock_sys_table_mutex	152258	53.9472	0.00035431
wait/synch/mutex/innodb/log_write_notifier_mutex	406658	37.6847	0.00009267
wait/synch/mutex/innodb/trx_undo_mutex	304543	29.5795	0.00009713
wait/synch/mutex/innodb/purge_sys_pq_mutex	152226	27.8456	0.00018292
wait/synch/mutex/innodb/dict_sys_mutex	456497	26.7855	0.00005868
wait/synch/sxlock/innodb/rsegs_lock	115905	25.8803	0.00022329
wait/synch/sxlock/innodb/undo_spaces_lock	95589	24.8207	0.00025966
wait/synch/mutex/innodb/dict_table_mutex	304540	20.3066	0.00006668
wait/synch/mutex/innodb/autoinc_persisted_mutex	76020	16.4263	0.00021608
wait/synch/mutex/innodb/autoinc_mutex	76029	11.0238	0.00014500
wait/synch/mutex/innodb/alter_stage_mutex	83020	5.8669	0.00007067
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	23622	5.6501	0.00023919
wait/synch/mutex/innodb/flush_list_mutex	34983	3.0992	0.00008859
wait/synch/mutex/innodb/log_governor_mutex	5711	1.7839	0.00031236
wait/synch/mutex/innodb/log_flush_notifier_mutex	12304	1.7587	0.00014294
wait/synch/mutex/innodb/parallel_read_mutex	150	1.6136	0.01075726
wait/synch/mutex/innodb/temp_space_rseg_mutex	26880	1.4781	0.00005499
wait/synch/mutex/innodb/buf_pool_free_list_mutex	8892	1.4353	0.00016141
wait/synch/mutex/innodb/log_limits_mutex	5956	0.9886	0.00016598
wait/synch/mutex/innodb/dblwr_mutex	11865	0.7186	0.00006057
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex	4613	0.3384	0.00007336
wait/synch/mutex/innodb/log_flusher_mutex	1092	0.2502	0.00022913
wait/synch/mutex/innodb/page_cleaner_mutex	362	0.0400	0.00011051
wait/synch/mutex/innodb/log_checkpointer_mutex	68	0.0269	0.00039518
wait/synch/mutex/innodb/row_drop_list_mutex	60	0.0243	0.00040428
wait/synch/mutex/innodb/recalc_pool_mutex	44	0.0137	0.00031192
wait/synch/mutex/innodb/ibuf_mutex	59	0.0100	0.00016886
wait/synch/mutex/innodb/trx_pool_mutex	94	0.0079	0.00008445
wait/synch/sxlock/innodb/dict_table_stats	64	0.0070	0.00010883
wait/synch/mutex/innodb/trx_pool_manager_mutex	47	0.0069	0.00014641
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	9	0.0037	0.00041522
wait/synch/mutex/innodb/parser_mutex	40	0.0028	0.00007091
wait/synch/mutex/innodb/page_sys_arch_oper_mutex	9	0.0023	0.00025961
wait/synch/sxlock/innodb/dict_operation_lock	6	0.0012	0.00020681
wait/synch/mutex/innodb/srv_innodb_monitor_mutex	1	0.0003	0.00033269
wait/synch/mutex/innodb/innobase_share_mutex	1	0.0000	0.00004780
