## Performance Schema — InnoDB mutex wait (全 run の平均)
EVENT_NAME                                        	AVG_COUNT      	AVG_SUM_MS     	AVG_AVG_MS     
wait/synch/mutex/innodb/log_files_mutex           	5776.67        	3613.2160      	0.6260         
wait/synch/sxlock/innodb/trx_purge_latch          	5556355.33     	3345.1035      	0.0006         
wait/synch/sxlock/innodb/hash_table_locks         	17330073.00    	2982.2127      	0.0002         
wait/synch/mutex/innodb/lock_sys_page_mutex       	1165997.67     	2204.3941      	0.0019         
wait/synch/mutex/innodb/trx_mutex                 	29545305.67    	1993.1750      	0.0001         
wait/synch/mutex/innodb/log_writer_mutex          	11285.33       	1876.1598      	0.1681         
wait/synch/mutex/innodb/fil_system_mutex          	6172735.33     	1393.6076      	0.0002         
wait/synch/mutex/innodb/lock_wait_mutex           	81405.67       	1334.2581      	0.0164         
wait/synch/sxlock/innodb/index_tree_rw_lock       	2752364.33     	645.9790       	0.0002         
wait/synch/mutex/innodb/srv_sys_mutex             	60857.00       	550.8625       	0.0091         
wait/synch/mutex/innodb/trx_sys_mutex             	329707.00      	550.6093       	0.0017         
wait/synch/sxlock/innodb/lock_sys_global_rw_lock  	1185493.00     	238.9936       	0.0002         
wait/synch/mutex/innodb/undo_space_rseg_mutex     	511824.00      	220.6375       	0.0004         
wait/synch/mutex/innodb/sync_array_mutex          	234045.33      	143.8815       	0.0006         
wait/synch/sxlock/innodb/log_sn_lock              	1361731.00     	137.5642       	0.0001         
wait/synch/mutex/innodb/trx_sys_serialisation_mutex	152019.67      	100.4159       	0.0007         
wait/synch/sxlock/innodb/fil_space_latch          	17954.33       	89.7400        	0.0050         
wait/synch/mutex/innodb/trx_pool_mutex            	94.00          	69.7049        	0.7415         
wait/synch/mutex/innodb/trx_sys_shard_mutex       	324866.00      	56.5679        	0.0002         
wait/synch/mutex/innodb/lock_sys_table_mutex      	151435.33      	56.3901        	0.0004         
wait/synch/mutex/innodb/log_write_notifier_mutex  	404030.33      	37.8449        	0.0001         
wait/synch/mutex/innodb/trx_undo_mutex            	302901.00      	27.7389        	0.0001         
wait/synch/sxlock/innodb/rsegs_lock               	115278.33      	27.2451        	0.0002         
wait/synch/mutex/innodb/dict_sys_mutex            	454150.00      	27.0623        	0.0001         
wait/synch/mutex/innodb/purge_sys_pq_mutex        	151423.33      	24.8863        	0.0002         
wait/synch/sxlock/innodb/undo_spaces_lock         	95075.00       	23.6979        	0.0002         
wait/synch/mutex/innodb/dict_table_mutex          	302976.00      	22.4755        	0.0001         
wait/synch/mutex/innodb/autoinc_persisted_mutex   	75613.00       	16.5919        	0.0002         
wait/synch/mutex/innodb/autoinc_mutex             	75622.00       	11.0590        	0.0001         
wait/synch/mutex/innodb/alter_stage_mutex         	83020.00       	5.8669         	0.0001         
wait/synch/mutex/innodb/buf_pool_flush_state_mutex	22846.00       	5.8460         	0.0003         
wait/synch/mutex/innodb/flush_list_mutex          	34372.33       	3.0411         	0.0001         
wait/synch/mutex/innodb/temp_space_rseg_mutex     	26624.00       	2.1021         	0.0001         
wait/synch/mutex/innodb/log_governor_mutex        	5612.33        	1.8507         	0.0003         
wait/synch/mutex/innodb/log_flush_notifier_mutex  	11756.67       	1.6992         	0.0001         
wait/synch/mutex/innodb/parallel_read_mutex       	150.00         	1.6136         	0.0108         
wait/synch/mutex/innodb/buf_pool_free_list_mutex  	9592.00        	1.2283         	0.0001         
wait/synch/mutex/innodb/log_limits_mutex          	5854.33        	0.9269         	0.0002         
wait/synch/mutex/innodb/dblwr_mutex               	11472.33       	0.7388         	0.0001         
wait/synch/mutex/innodb/buf_pool_LRU_list_mutex   	5463.67        	0.4485         	0.0001         
wait/synch/mutex/innodb/log_flusher_mutex         	1035.00        	0.2910         	0.0003         
wait/synch/mutex/innodb/page_cleaner_mutex        	362.00         	0.0342         	0.0001         
wait/synch/mutex/innodb/log_checkpointer_mutex    	68.00          	0.0280         	0.0004         
wait/synch/mutex/innodb/row_drop_list_mutex       	59.33          	0.0248         	0.0004         
wait/synch/mutex/innodb/recalc_pool_mutex         	44.00          	0.0143         	0.0003         
wait/synch/mutex/innodb/ibuf_mutex                	59.00          	0.0101         	0.0002         
wait/synch/sxlock/innodb/dict_table_stats         	64.00          	0.0073         	0.0001         
wait/synch/mutex/innodb/trx_pool_manager_mutex    	47.00          	0.0065         	0.0001         
wait/synch/mutex/innodb/parser_mutex              	40.00          	0.0054         	0.0001         
wait/synch/mutex/innodb/dict_persist_dirty_tables_mutex	8.33           	0.0028         	0.0003         
wait/synch/mutex/innodb/ibuf_bitmap_mutex         	18.33          	0.0027         	0.0000         
wait/synch/mutex/innodb/page_sys_arch_oper_mutex  	8.33           	0.0022         	0.0003         
wait/synch/sxlock/innodb/dict_operation_lock      	6.33           	0.0014         	0.0002         
wait/synch/mutex/innodb/srv_innodb_monitor_mutex  	1.33           	0.0005         	0.0003         
wait/synch/mutex/innodb/innobase_share_mutex      	6.00           	0.0005         	0.0001         
