run	tps	qps	latency_avg_ms	latency_p95_ms	latency_min_ms	latency_max_ms	total_time_s	errors_per_sec
1	599.10	11981.91	53.38	350.33	4.34	2365.42	NA	0.00
2	546.92	10938.30	58.48	397.39	4.37	3874.13	NA	0.00
3	640.56	12811.16	49.40	350.33	4.32	2122.20	NA	0.00
4	612.82	12256.39	51.90	363.18	4.36	1997.05	NA	0.00
5	628.47	12569.41	50.33	287.38	4.38	2592.09	NA	0.00
6	527.79	10555.86	60.31	397.39	4.30	2081.69	NA	0.00
7	702.06	14041.24	44.89	308.84	4.15	2005.79	NA	0.00
8	520.16	10403.15	61.30	419.45	4.37	2540.81	NA	0.00
9	616.88	12337.52	51.68	369.77	4.22	2312.34	NA	0.00
10	602.06	12041.21	53.14	390.30	4.26	2336.40	NA	0.00
